Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH
01000001,2.20,3.50,,,,,,5.50,2.50,,
01000002,9.20,8.25,10.00,,,,,9.75,5.75,9.25,8.25
01000003,4.40,6.25,,,,,,4.00,4.25,,
01000004,8.40,6.75,10.00,4.00,3.00,3.50,3.50,,,,
01000005,8.80,8.25,9.40,8.25,5.75,5.25,6.41,,,,
01000006,8.00,8.75,8.60,,,,,6.50,5.00,9.25,6.91
01000007,9.00,5.25,9.00,7.25,4.75,3.50,5.16,,,,
01000008,,7.50,,,,,,7.00,2.25,,
01000009,8.00,8.00,8.40,,,,,8.00,5.25,9.00,7.41
01000010,8.80,6.25,9.20,8.75,8.75,3.00,6.83,,,,
01000011,6.00,7.75,8.20,,,,,7.25,3.00,8.50,6.25
01000012,6.40,6.75,7.80,,,,,7.00,5.50,7.50,6.66
01000013,7.40,6.75,9.00,,,,,8.50,3.75,6.50,6.25
01000014,7.40,8.00,8.60,,,,,6.25,6.00,7.50,6.58
01000015,6.00,7.75,9.00,,,,,7.75,4.00,7.00,6.25
01000016,7.80,8.50,9.40,,,,,7.50,6.50,8.00,7.33
01000017,7.80,8.00,9.60,7.50,8.00,7.25,7.58,,,,
01000018,8.80,8.25,,8.00,5.00,6.75,6.58,,,,
01000019,7.00,8.50,8.80,,,,,5.25,4.00,6.75,5.33
01000020,8.80,6.25,8.40,5.50,8.25,4.50,6.08,,,,
01000021,9.00,9.00,9.40,,,,,8.00,5.00,9.50,7.50
01000022,2.80,6.25,,,,,,5.50,3.25,,
01000023,7.60,8.25,10.00,,,,,7.75,7.00,9.50,8.08
01000024,8.40,7.50,9.20,,,,,7.50,4.75,8.50,6.91
01000025,4.20,6.50,3.60,,,,,6.50,5.00,10.00,7.16
01000026,8.60,7.00,5.20,,,,,6.50,4.25,6.50,5.75
01000027,8.00,9.00,9.80,,,,,7.00,6.00,9.25,7.41
01000028,9.20,8.25,9.20,8.75,8.00,6.00,7.58,,,,
01000029,8.40,6.00,9.40,,,,,7.50,3.50,8.00,6.33
01000030,8.20,7.75,9.20,,,,,,,,
01000031,8.60,8.25,9.80,,,,,9.25,7.00,9.25,8.50
